@s0 legend "1"
2.696319 2.46771336e+01 7.44791667e-03
2.701062 2.46807052e+01 6.73691951e-03
2.705805 2.46892748e+01 7.48905665e-03
2.710547 2.46749924e+01 7.01523610e-03
2.71529 2.46771106e+01 7.46628772e-03
2.720033 2.46643999e+01 7.71828452e-03
2.724776 2.46649891e+01 7.37353051e-03
2.729519 2.46721663e+01 7.11382697e-03
2.734262 2.46560590e+01 7.44883891e-03
2.739005 2.46524534e+01 7.09703877e-03
2.743747 2.46572993e+01 7.48270196e-03
2.74849 2.4659983e+01 7.2912050e-03
2.753233 2.46497089e+01 7.03075170e-03
2.757976 2.46455150e+01 7.22113602e-03
2.762719 2.46407400e+01 7.06686208e-03
2.767462 2.46465551e+01 6.07310990e-03
2.772205 2.46436581e+01 7.13103734e-03
2.776948 2.46381018e+01 7.92900197e-03
2.78169 2.46389929e+01 6.09170061e-03
2.786433 2.46376687e+01 6.46100741e-03
2.791176 2.46325583e+01 6.50658177e-03
2.795919 2.46351729e+01 6.55900115e-03
2.800662 2.46211168e+01 7.17507470e-03
2.805405 2.46307768e+01 6.89534031e-03
2.810148 2.46483924e+01 6.80947422e-03
2.81489 2.47511580e+01 6.55411554e-03
2.819633 2.47579858e+01 7.13611155e-03
2.824376 2.46926002e+01 7.36532751e-03
2.829119 2.46451406e+01 7.65063673e-03
2.833862 2.46303842e+01 7.59580143e-03
2.838605 2.46005269e+01 8.02802096e-03
2.843348 2.45927392e+01 7.12623985e-03
2.848091 2.45956847e+01 7.35108399e-03
2.852833 2.45933497e+01 7.63364947e-03
2.857576 2.45771814e+01 7.32538343e-03
2.862319 2.45943184e+01 7.27495477e-03
2.867062 2.45850633e+01 6.87866128e-03
